sentance	intent
Bye	goodbye
Goodbye	goodbye
See you later	goodbye
Bye bot	goodbye
Goodbye friend	goodbye
bye	goodbye
bye for now	goodbye
catch you later	goodbye
gotta go	goodbye
See you	goodbye
goodnight	goodbye
have a nice day	goodbye
i'm off	goodbye
see you later alligator	goodbye
we'll speak soon	goodbye
Hi	greet
Hey	greet
Hi bot	greet
Hey bot	greet
Hello	greet
Good morning	greet
hi again	greet
hi folks	greet
hi Mister	greet
hi pal!	greet
hi there	greet
greetings	greet
hello everybody	greet
hello is anybody there	greet
hello robot	greet
Thanks	thanks
Thank you	thanks
Thank you so much	thanks
Thanks bot	thanks
Thanks for that	thanks
cheers	thanks
cheers bro	thanks
ok thanks!	thanks
perfect thank you	thanks
thanks a bunch for everything	thanks
thanks for the help	thanks
thanks a lot	thanks
amazing, thanks	thanks
cool, thanks	thanks
cool thank you	thanks
My name is Sankalp	name
I am Pralobhan	name
I'm Bikash	name
People call me Archana	name
It's Jadu	name
Usually people call me Shikhar	name
You can call me Dhoni	name
Please call me Prabhu	name
Name name is Shilpa	name
Call me Prabhakar	name
Raghab	name
name is Pralochan	name
I Snigdha	name
Rabi is my name	name
Predeep is the name	name
Ashutosh is my first name	name
Lambodar is my last name	name
Few call me as Naveen	name
Some call me Kanha	name
Everyone calls me Rajeev	name
just call me Sandeep	name
Few call Mahi	name
You can always call me Ravindra	name
Some will call me Sambhu	name
I call Rampal	name
name Jasmin	name